machine;description;nature;excution;frequency;nextExecution
M07;MANGUEIRA DE RETORNO DO CILINDRO DO PREENCHIMENTO;MECÂNICO;INSPEÇÃO/REAPERTO DAS CONEXÕES;6M;16
M07;MANGUEIRA DE RETORNO DO CILINDRO DO PREENCHIMENTO;MECÂNICO;INSPEÇÃO/REAPERTO DAS CONEXÕES;6M;16
M07;SENSOR INDUTIVO DO SITEMA;ELÉTRICO;INSPEÇÃO/TROCA;3M;17
M07;SENSOR INDUTIVO DO SITEMA;ELÉTRICO;INSPEÇÃO/TROCA;3M;17
M07;SENSOR INDUTIVO DO SITEMA;ELÉTRICO;INSPEÇÃO/TROCA;3M;17
M07;SENSOR INDUTIVO DO SITEMA;ELÉTRICO;INSPEÇÃO/TROCA;3M;17
M07;CILINDRO DO PREENCHIMENTO;MECÂNICO;INSPEÇÃO;6M ;16
M07;CILINDRO DO PREENCHIMENTO;MECÂNICO;INSPEÇÃO;6M ;16
M07;CILINDRO DO SISTEMA;MECÂNICO;INSPEÇÃO;6M ;16
M07;CILINDRO DO SISTEMA;MECÂNICO;INSPEÇÃO;6M ;16
M07;BORNEIRA;MECÂNICO;INSPEÇÃO/REAPERTO DOS BORNES;6M;16
M07;COLUNAS GUIAS DO MARTELO;MECÂNICO;LUBRIFICAÇÃO;M;17
M07;COLUNAS GUIAS DO MARTELO;MECÂNICO;LUBRIFICAÇÃO;M;17
M07;COLUNAS GUIAS DO MARTELO;MECÂNICO;LUBRIFICAÇÃO;M;17
M07;COLUNAS GUIAS DO MARTELO;MECÂNICO;LUBRIFICAÇÃO;M;17
M07;MARTELO DA PRENSA;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;SUPORTE DA CREMALHEIRA GUIA DO MARTELO;MECÂNICO;INSPEÇÃO/REAPERTO;M;17
M07;SUPORTE DA CREMALHEIRA GUIA DO MARTELO;MECÂNICO;INSPEÇÃO/REAPERTO;M;17
M07;CREMALHEIRAS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;CREMALHEIRAS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;CREMALHEIRAS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
